"Username","participant ethnicity","Response.RT","Response.JOL","Target_Ethnicity","Target_Gender","scored"
"M20301524_EA","Other/unknown",2373,0,"W","F",0
"M20301524_EA","Other/unknown",1488,0,"B","F",0
"M20301524_EA","Other/unknown",2600,0,"B","F",1
"M20301524_EA","Other/unknown",1709,0,"W","F",1
"M20301992","Other/unknown",7195,30,"B","F",0
"M20301992","Other/unknown",4862,60,"W","F",0
"M20301992","Other/unknown",13557,20,"W","F",0
"M20301992","Other/unknown",5672,75,"W","M",1
"M20301992","Other/unknown",6438,60,"W","F",0
"M20301992","Other/unknown",2931,4,"B","M",0
"M20301992","Other/unknown",2925,20,"W","M",1
"M20301992","Other/unknown",9325,60,"B","M",0
"M20301992","Other/unknown",5554,85,"W","F",1
"M20301992","Other/unknown",5052,90,"W","F",1
"M20301992","Other/unknown",4934,35,"W","F",0
"M20301992","Other/unknown",3680,70,"W","M",1
"M20301992","Other/unknown",3626,30,"B","F",1
"M20301992","Other/unknown",2865,20,"W","M",1
"M20301992","Other/unknown",6999,40,"B","F",1
"M20301992","Other/unknown",14507,40,"W","M",0
"M20301992","Other/unknown",7962,35,"B","M",0
"M20301992","Other/unknown",7371,65,"W","F",1
"M20301992","Other/unknown",5375,0,"B","M",1
"M20301992","Other/unknown",4996,90,"B","M",1
"M20301992","Other/unknown",4658,85,"B","M",1
"M20301992","Other/unknown",4076,50,"B","M",0
"M20301992","Other/unknown",4898,0,"W","M",0
"M20301992","Other/unknown",13065,34,"W","M",0
"M20301992","Other/unknown",4121,10,"W","F",0
"M20301992","Other/unknown",4234,20,"B","F",0
"M20301992","Other/unknown",3606,85,"W","F",0
"M20301992","Other/unknown",4793,90,"W","M",1
"M20301992","Other/unknown",3800,30,"B","F",0
"M20301992","Other/unknown",5640,85,"W","F",1
"M20301992","Other/unknown",4909,20,"W","M",1
"M20301992","Other/unknown",2402,0,"B","F",1
"M20301992","Other/unknown",2635,0,"B","F",0
"M20301992","Other/unknown",5890,20,"B","F",0
"M20301992","Other/unknown",4566,5,"B","M",0
"M20301992","Other/unknown",3824,10,"B","M",0
"M20301992","Other/unknown",21859,10,"B","M",1
"M20301992","Other/unknown",16023,70,"B","F",1
"M20301992","Other/unknown",4036,50,"W","M",1
"M20301992","Other/unknown",3960,70,"B","F",1
"M20302173_aoh","Black",26090,70,"B","M",0
"M20302173_aoh","Black",11832,85,"B","M",1
"M20302173_aoh","Black",10850,65,"W","F",0
"M20302173_aoh","Black",10641,70,"W","M",0
"M20302173_aoh","Black",5468,50,"B","M",0
"M20302173_aoh","Black",12325,60,"W","F",1
"M20302173_aoh","Black",14713,38,"W","F",1
"M20302173_aoh","Black",33919,40,"B","F",1
"M20302173_aoh","Black",10095,40,"B","M",1
"M20302173_aoh","Black",11534,60,"B","M",1
"M20302173_aoh","Black",22217,70,"B","F",1
"M20302173_aoh","Black",13193,25,"W","F",0
"M20302173_aoh","Black",20624,80,"W","F",1
"M20302173_aoh","Black",7742,18,"W","F",1
"M20302173_aoh","Black",4969,37,"B","M",1
"M20302173_aoh","Black",6579,25,"W","F",0
"M20302173_aoh","Black",22806,27,"W","M",1
"M20302173_aoh","Black",11012,78,"W","F",1
"M20302173_aoh","Black",9492,56,"W","M",0
"M20302173_aoh","Black",5110,43,"W","F",0
"M20302173_aoh","Black",8481,75,"B","M",1
"M20302173_aoh","Black",12651,80,"B","F",1
"M20302173_aoh","Black",11741,54,"B","F",1
"M20302173_aoh","Black",37450,45,"B","F",0
"M20302173_aoh","Black",12386,36,"W","F",1
"M20302173_aoh","Black",10299,50,"B","F",1
"M20302173_aoh","Black",24870,50,"B","F",1
"M20302173_aoh","Black",6199,47,"W","M",1
"M20302173_aoh","Black",74146,46,"B","M",1
"M20302173_aoh","Black",8668,47,"B","M",1
"M20302173_aoh","Black",8254,35,"W","M",1
"M20302173_aoh","Black",5249,46,"B","M",1
"M20302173_aoh","Black",7619,78,"B","F",1
"M20302173_aoh","Black",3340,20,"W","M",0
"M20302173_aoh","Black",16403,76,"B","F",1
"M20302173_aoh","Black",54298,60,"W","M",1
"M20302173_aoh","Black",3144,18,"W","M",0
"M20302173_aoh","Black",14387,34,"W","M",0
