"Username","JOL_B","JOL_W","ATW","contact","EMS","IMS"
"6298813270372901ADA",59.9,40.25,3.7,12,2.2,4.2
"AbigailBandas",50.2105263157895,43.1,4,84,1.8,5
"AdaugoChukwuka",29.8888888888889,20.115,3.3,NA,2.2,3.4
"AsiaTaylor",45.15,9.7,3.4,49,1.8,5
"CarmenWilson",85.2105263157895,80.65,4.3,24,1.4,1.6
"cooforah0923",58.9,51.05,3.6,20,1.4,4
"j00867279KS",44.75,19.65,2.6,6,3.4,4.6
"J00892472B.O.",91.9473684210526,91.75,3.1,6,1.8,3.6
"j00896894",11.65,4.4,4.4,NA,1,2.6
"j00900405J.B",60.5,58.05,3.4,NA,3.2,4.4
"J0090373JB",33.95,26.3,3.9,5,1.6,3.4
"J00908264LN",69.1111111111111,73.6,4.6,0,1,4.8
"J00914039Z.R.",47.5,22.75,3.2,10,4.6,5
"J009143cb",7.15,6.3,3.4,1,2.2,3.4
"J00924332TJ",60,35,3.4,0,2,5
"J00926853EC",69.75,59.75,3.8,NA,3.4,4.6
"J00934210CC",32.5,24.5,2.3,NA,3,4.2
"J00945071ih",37.35,43.6,3.6,3,3.2,3
"J00951218TP",43.5,38,2.6,0,2.6,2.6
"J00954142DT",56.1,10.5,3.8,7,3.4,5
"J00958620CR",36.25,23.35,3.4,NA,3,4.4
"J00961267LR",95,75.95,3.1,NA,3.6,3.8
"J00964292CB",27.3,57.2,3.7,1,3.2,2.6
"J00965289AL",65.5,16.5,2.7,0,2.8,3.8
"J00965453MP",86.1,58.95,3.5,0,1.8,5
"j00980078CJ",41.25,32.45,2.8,1,2,4.2
"j00981726AB",64.5,61.5,4.2,0,3.4,4.4
"j00983550MKN",61.5,50.9,3.8,NA,1.4,3
"J01002593TL",76.7,69.9,3.4,NA,2.8,4.4
"J01024433CAA",8.35,25.1,3.3,NA,2.8,2.8
"JerniahWilliams",89.2,91,3.3,0,3.6,3.8
"KBooker",49.25,33.75,3.8,0,1.4,3.8
"landonshelton",50.45,41.35,4.2,168,2.8,4.6
"LeahFranks",41.2,33.75,3.6,NA,2,4.8
"M20302173_aoh",58.75,43.25,4.3,NA,2.8,5
"m20307848",84.5,84.5,4.2,100,2.2,3.8
"M20315356JN",33.3,24.65,3.4,NA,2.4,5
"M20316582!_NDP",52.5,54.5,3.6,NA,2.6,3.8
"M20317671ajb",4.85,5.1,3.6,NA,1.6,5
"M20317880SNH",64.05,56.8,3.5,0,1.8,5
"M20318781AW",50.15,35.75,3.5,NA,2,3.6
"M20320723_BB",67.5,43.2631578947368,2.8,10,2,4.2
"M20320861",52.2,53,3.8,NA,1.4,3.25
"M20323006_SPS",31.65,29.05,2.9,NA,1.8,4.2
"M20325706DM",77,67.5,3.2,NA,4,4.4
"M20326449_JGJ",75.3,53.05,4.3,NA,1.4,2
"M20327215_JAW",73.25,62.35,4,NA,4.6,5
"M20327840_bkc",81.3,80.7,3.44444444444444,NA,3.6,4.8
"M20332352SE",72.25,58.8,3.4,168,1.4,5
"M20333447_MHT",46.95,42.45,4.2,90,2.2,4.6
"M20335163AB",35,27.25,2.7,NA,1,2.6
"M20335233_KDS",58,43.6,3.4,NA,1.4,4.6
"M20336507_mmh",38.1,41.75,4.4,80,1,5
"M20336685_amn",59.75,58.3,4,20,2,4.2
"M20337415AM",84.65,81.7777777777778,4.6,NA,1,5
"Nikyla",49.85,42,3.6,NA,1.4,2
"OluwafisayomiDada",68.7,68,2.4,60,4.4,3
"ShavonBerkley",25.55,25.65,3.5,10,2.2,4.6
