"Username","participant_ethnicity","Response.RT","key","Target_Ethnicity","Target_Gender","scored"
"AbigailBandas","Black",3268,"OLD","W","M",1
"AbigailBandas","Black",3253,"NEW","W","M",0
"AbigailBandas","Black",2402,"NEW","W","M",0
"AbigailBandas","Black",2368,"NEW","B","F",0
"AbigailBandas","Black",2531,"NEW","B","M",0
"AbigailBandas","Black",6512,"NEW","W","M",0
"AbigailBandas","Black",2836,"NEW","B","F",0
"AbigailBandas","Black",3347,"OLD","B","F",1
"AbigailBandas","Black",4463,"OLD","W","F",1
"AbigailBandas","Black",3237,"NEW","W","M",0
"AbigailBandas","Black",5664,"NEW","B","M",0
"AbigailBandas","Black",2881,"NEW","B","F",0
"AbigailBandas","Black",2988,"OLD","B","M",0
"AbigailBandas","Black",3268,"OLD","W","F",1
"AbigailBandas","Black",3363,"NEW","W","M",0
"AbigailBandas","Black",2880,"OLD","B","M",0
"AbigailBandas","Black",2826,"NEW","W","F",0
"AbigailBandas","Black",3922,"NEW","B","F",0
"AbigailBandas","Black",3075,"NEW","W","M",0
"AbigailBandas","Black",2772,"OLD","W","F",0
"AbigailBandas","Black",2603,"NEW","B","M",0
"AbigailBandas","Black",3130,"NEW","B","M",0
"AbigailBandas","Black",2592,"NEW","W","F",0
"AbigailBandas","Black",3422,"OLD","W","F",1
"AbigailBandas","Black",2885,"OLD","W","M",1
"AbigailBandas","Black",2951,"NEW","W","F",0
"AbigailBandas","Black",3209,"NEW","W","M",0
"AbigailBandas","Black",3270,"OLD","B","F",1
"AbigailBandas","Black",2952,"NEW","B","F",0
"AbigailBandas","Black",3057,"OLD","B","F",1
"AbigailBandas","Black",3031,"NEW","B","M",0
"AbigailBandas","Black",4096,"OLD","B","F",1
"AbigailBandas","Black",3303,"NEW","B","M",0
"AbigailBandas","Black",2683,"NEW","B","M",0
"AbigailBandas","Black",3254,"OLD","W","M",1
"AbigailBandas","Black",3681,"OLD","B","F",1
"AbigailBandas","Black",2518,"OLD","W","F",1
"AbigailBandas","Black",3192,"NEW","W","F",0
"AbigailBandas","Black",3749,"OLD","W","M",1
"AbigailBandas","Black",4357,"OLD","B","M",0
"AbigailBandas","Black",3237,"NEW","W","F",0
"AbigailBandas","Black",2849,"NEW","B","F",0
"AbigailBandas","Black",4436,"NEW","W","M",0
"AbigailBandas","Black",2548,"OLD","B","F",1
"AbigailBandas","Black",4189,"OLD","B","F",1
"AbigailBandas","Black",6058,"OLD","W","F",0
