Username,participant ethnicity,Procedure.Procedure.Notes,Procedure.Shuffle,response
ZnnVttVGZrXiZ,Other/unknown,External,EM_IM,2
ZnnVttVGZrXiZ,Other/unknown,External,EM_IM,3
ZnnVttVGZrXiZ,Other/unknown,Interal,EM_IM,5
ZnnVttVGZrXiZ,Other/unknown,External,EM_IM,3
ZnnVttVGZrXiZ,Other/unknown,Neg,ATB,5
ZnnVttVGZrXiZ,Other/unknown,Neg,ATW,4
ZnnVttVGZrXiZ,Other/unknown,Pos,ATB,1
ZnnVttVGZrXiZ,Other/unknown,Pos,ATW,5
ZnnVttVGZrXiZ,Other/unknown,Neg,ATB,5
ZnnVttVGZrXiZ,Other/unknown,Interal,EM_IM,4
ZnnVttVGZrXiZ,Other/unknown,Pos,ATB,1
ZnnVttVGZrXiZ,Other/unknown,Manip_check,ATW,5
ZnnVttVGZrXiZ,Other/unknown,Pos,ATW,5
ZnnVttVGZrXiZ,Other/unknown,External,EM_IM,3
ZnnVttVGZrXiZ,Other/unknown,Interal,EM_IM,5
ZnnVttVGZrXiZ,Other/unknown,Interal,EM_IM,4
ZnnVttVGZrXiZ,Other/unknown,Manip_check,ATB,5
ZnnikZMVWVllin,Other/unknown,Neg,ATB,4
ZnnikZMVWVllin,Other/unknown,Pos,ATW,4
ZnnikZMVWVllin,Other/unknown,External,EM_IM,3
ZnnikZMVWVllin,Other/unknown,Interal,EM_IM,4
ZnnikZMVWVllin,Other/unknown,Interal,EM_IM,4
ZnnikZMVWVllin,Other/unknown,Manip_check,EM_IM,5
ZnnikZMVWVllin,Other/unknown,Manip_check,ATW,5
ZnnikZMVWVllin,Other/unknown,Neg,ATB,4
ZnnikZMVWVllin,Other/unknown,Pos,ATB,2
ZnnikZMVWVllin,Other/unknown,Neg,ATW,2
ZnnikZMVWVllin,Other/unknown,Pos,ATW,4
ZnnikZMVWVllin,Other/unknown,Pos,ATW,3
ZnnikZMVWVllin,Other/unknown,External,EM_IM,4
ZnnikZMVWVllin,Other/unknown,Pos,ATW,3
ZnnikZMVWVllin,Other/unknown,Neg,ATW,4
ZnnikZMVWVllin,Other/unknown,Neg,ATW,2
ZnnikZMVWVllin,Other/unknown,External,EM_IM,4
ZnnikZMVWVllin,Other/unknown,Interal,EM_IM,4
ZnnikZMVWVllin,Other/unknown,External,EM_IM,4
ZnnikZMVWVllin,Other/unknown,Neg,ATB,4
ZnnikZMVWVllin,Other/unknown,Pos,ATW,4
ZnnikZMVWVllin,Other/unknown,Neg,ATB,4
ZnnikZMVWVllin,Other/unknown,Interal,EM_IM,4
ZnnikZMVWVllin,Other/unknown,Pos,ATB,2
ZnnikZMVWVllin,Other/unknown,,ContactQ,15
ZnnikZMVWVllin,Other/unknown,Pos,ATB,2
ZnnikZMVWVllin,Other/unknown,Pos,ATB,2
ZnnikZMVWVllin,Other/unknown,Pos,ATW,4
ZnnikZMVWVllin,Other/unknown,Manip_check,ATW,1
ZnnikZMVWVllin,Other/unknown,Manip_check,ATB,5
ZnnikZMVWVllin,Other/unknown,Manip_check,ATB,1
ZnnikZMVWVllin,Other/unknown,Neg,ATW,3
ZnnikZMVWVllin,Other/unknown,Manip_check,EM_IM,1
ZnnikZMVWVllin,Other/unknown,Neg,ATB,4
ZnnikZMVWVllin,Other/unknown,Neg,ATB,3
ZnnikZMVWVllin,Other/unknown,Interal,EM_IM,4
ZnnikZMVWVllin,Other/unknown,External,EM_IM,4
ZshlVy,White,Neg,ATW,1
ZshlVy,White,Neg,ATB,5
ZshlVy,White,Pos,ATW,5
ZshlVy,White,Pos,ATB,1
ZshlVy,White,Interal,EM_IM,3
ZshlVy,White,Pos,ATB,4
ZshlVy,White,Neg,ATW,1
ZshlVy,White,External,EM_IM,1
ZshlVy,White,Neg,ATB,3
ZshlVy,White,External,EM_IM,1
ZshlVy,White,,ContactQ,2-Jan
ZshlVy,White,Pos,ATW,4
ZshlVy,White,Neg,ATB,5
ZshlVy,White,Manip_check,ATW,5
ZshlVy,White,Pos,ATW,3
ZshlVy,White,Interal,EM_IM,5
ZshlVy,White,Pos,ATB,3
ZshlVy,White,Neg,ATB,5
ZshlVy,White,Manip_check,ATB,5
ZshlVy,White,Manip_check,ATW,1
ZshlVy,White,Pos,ATW,3
ZshlVy,White,Pos,ATW,5
ZshlVy,White,External,EM_IM,3
ZshlVy,White,Manip_check,EM_IM,5
ZshlVy,White,Manip_check,EM_IM,1
ZshlVy,White,Pos,ATW,5
ZshlVy,White,Neg,ATB,3
ZshlVy,White,Neg,ATW,2
ZshlVy,White,Interal,EM_IM,3
ZshlVy,White,Pos,ATB,3
ZshlVy,White,Neg,ATB,3
ZshlVy,White,External,EM_IM,1
ZshlVy,White,Neg,ATW,3
ZshlVy,White,Manip_check,ATB,1
ZshlVy,White,External,EM_IM,1
ZshlVy,White,Interal,EM_IM,1
ZshlVy,White,Interal,EM_IM,3
ZsiZTZylor,Black,Manip_check,ATW,1
ZsiZTZylor,Black,Interal,EM_IM,5
ZsiZTZylor,Black,Pos,ATW,4
ZsiZTZylor,Black,Neg,ATB,3
ZsiZTZylor,Black,Manip_check,EM_IM,1
ZsiZTZylor,Black,Neg,ATB,5
ZsiZTZylor,Black,Pos,ATW,2
ZsiZTZylor,Black,Manip_check,EM_IM,5
ZsiZTZylor,Black,Interal,EM_IM,5
ZsiZTZylor,Black,Pos,ATW,2
ZsiZTZylor,Black,Pos,ATB,1
ZsiZTZylor,Black,Pos,ATB,1
ZsiZTZylor,Black,External,EM_IM,4
ZsiZTZylor,Black,External,EM_IM,1
ZsiZTZylor,Black,Neg,ATB,4
ZsiZTZylor,Black,Manip_check,ATB,1
ZsiZTZylor,Black,Pos,ATB,1
ZsiZTZylor,Black,Pos,ATW,4
ZsiZTZylor,Black,Pos,ATW,4
ZsiZTZylor,Black,Interal,EM_IM,5
ZsiZTZylor,Black,External,EM_IM,1
ZsiZTZylor,Black,Pos,ATW,5
ZsiZTZylor,Black,,ContactQ,49
ZsiZTZylor,Black,Neg,ATB,5
ZsiZTZylor,Black,Manip_check,ATW,5
ZsiZTZylor,Black,Neg,ATW,1
ZsiZTZylor,Black,Interal,EM_IM,5
ZsiZTZylor,Black,Interal,EM_IM,5
ZsiZTZylor,Black,Neg,ATB,5
ZsiZTZylor,Black,Neg,ATB,4
ZsiZTZylor,Black,Pos,ATB,1
ZsiZTZylor,Black,Manip_check,ATB,5
ZsiZTZylor,Black,Neg,ATW,4
ZsiZTZylor,Black,External,EM_IM,1
ZsiZTZylor,Black,External,EM_IM,2
ZsiZTZylor,Black,Neg,ATW,1
ZsiZTZylor,Black,Neg,ATW,5
YrZnWonYost,White,External,EM_IM,3
YrZnWonYost,White,Manip_check,ATB,1
YrZnWonYost,White,Neg,ATB,2
YrZnWonYost,White,Pos,ATW,4
YrZnWonYost,White,Neg,ATW,2
YrZnWonYost,White,Pos,ATW,2
YrZnWonYost,White,Interal,EM_IM,5
YrZnWonYost,White,Manip_check,ATW,1
YrZnWonYost,White,Pos,ATW,3
YrZnWonYost,White,Pos,ATW,5
YrZnWonYost,White,Neg,ATW,2
YrZnWonYost,White,Neg,ATW,2
YrZnWonYost,White,Neg,ATB,4
YrZnWonYost,White,Pos,ATW,2
YrZnWonYost,White,Pos,ATB,2
YrZnWonYost,White,Neg,ATB,4
YrZnWonYost,White,Pos,ATB,1
YrZnWonYost,White,Neg,ATB,4
YrZnWonYost,White,Interal,EM_IM,5
YrZnWonYost,White,Manip_check,ATW,5
YrZnWonYost,White,Neg,ATB,3
YrZnWonYost,White,Neg,ATB,5
YrZnWonYost,White,Manip_check,EM_IM,1
YrZnWonYost,White,Interal,EM_IM,5
YrZnWonYost,White,Pos,ATB,1
YrZnWonYost,White,Manip_check,EM_IM,5
YrZnWonYost,White,External,EM_IM,2
YrZnWonYost,White,External,EM_IM,2
YrZnWonYost,White,Interal,EM_IM,5
YrZnWonYost,White,,ContactQ,"I do not know how often I do, but due to my employment and place of education, I do spend a lot of my time in public interacting with people that aren't white."
YrZnWonYost,White,Neg,ATW,1
YrZnWonYost,White,Pos,ATB,2
YrZnWonYost,White,Manip_check,ATB,5
YrZnWonYost,White,External,EM_IM,4
YrZnWonYost,White,Pos,ATW,4
YrZnWonYost,White,Interal,EM_IM,3
YrZnWonYost,White,External,EM_IM,2
XZlVYLZnV,White,Interal,EM_IM,4
XZlVYLZnV,White,Neg,ATB,5
XZlVYLZnV,White,Manip_check,EM_IM,5
XZlVYLZnV,White,,ContactQ,8
XZlVYLZnV,White,Neg,ATW,1
XZlVYLZnV,White,Pos,ATW,5
XZlVYLZnV,White,External,EM_IM,3
XZlVYLZnV,White,Interal,EM_IM,3
XZlVYLZnV,White,External,EM_IM,1
XZlVYLZnV,White,Interal,EM_IM,3
XZlVYLZnV,White,Neg,ATB,2
XZlVYLZnV,White,Neg,ATW,1
XZlVYLZnV,White,Pos,ATB,1
XZlVYLZnV,White,Neg,ATB,5
XZlVYLZnV,White,Manip_check,ATW,1
XZlVYLZnV,White,Neg,ATB,1
XZlVYLZnV,White,Neg,ATB,5
XZlVYLZnV,White,Pos,ATB,1
XZlVYLZnV,White,Neg,ATW,1
XZlVYLZnV,White,Interal,EM_IM,4
XZlVYLZnV,White,Pos,ATW,5
XZlVYLZnV,White,Pos,ATW,5
XZlVYLZnV,White,Neg,ATB,4
XZlVYLZnV,White,Pos,ATB,1
XZlVYLZnV,White,Interal,EM_IM,5
XZlVYLZnV,White,Manip_check,ATW,5
XZlVYLZnV,White,Manip_check,EM_IM,1
XZlVYLZnV,White,External,EM_IM,5
XZlVYLZnV,White,External,EM_IM,2
XZlVYLZnV,White,Pos,ATW,1
XZlVYLZnV,White,Neg,ATW,1
XZlVYLZnV,White,External,EM_IM,2
XZlVYLZnV,White,Pos,ATW,1
XZlVYLZnV,White,Pos,ATB,1
XZlVYLZnV,White,Manip_check,ATB,5
XZlVYLZnV,White,Manip_check,ATB,1
XZlVYLZnV,White,Pos,ATW,4
XZrmVnWilson,Black,Interal,EM_IM,1
XZrmVnWilson,Black,,ContactQ,24
XZrmVnWilson,Black,External,EM_IM,1
XZrmVnWilson,Black,Manip_check,ATB,1
XZrmVnWilson,Black,Pos,ATB,3
XZrmVnWilson,Black,Neg,ATB,3
XZrmVnWilson,Black,Interal,EM_IM,2
XZrmVnWilson,Black,Pos,ATB,2
XZrmVnWilson,Black,Pos,ATW,4
XZrmVnWilson,Black,Pos,ATB,3
XZrmVnWilson,Black,Neg,ATB,3
XZrmVnWilson,Black,Pos,ATW,5
XZrmVnWilson,Black,External,EM_IM,1
XZrmVnWilson,Black,Neg,ATB,4
XZrmVnWilson,Black,Neg,ATW,1
XZrmVnWilson,Black,Neg,ATB,2
XZrmVnWilson,Black,Manip_check,EM_IM,1
XZrmVnWilson,Black,Interal,EM_IM,1
XZrmVnWilson,Black,External,EM_IM,2
XZrmVnWilson,Black,Interal,EM_IM,1
XZrmVnWilson,Black,Pos,ATW,5
XZrmVnWilson,Black,Neg,ATB,5
XZrmVnWilson,Black,Neg,ATW,2
XZrmVnWilson,Black,Manip_check,ATW,1
XZrmVnWilson,Black,Neg,ATB,3
XZrmVnWilson,Black,Neg,ATW,1
XZrmVnWilson,Black,Pos,ATW,5
XZrmVnWilson,Black,Manip_check,ATB,5
XZrmVnWilson,Black,Pos,ATB,1
XZrmVnWilson,Black,Manip_check,EM_IM,5
XZrmVnWilson,Black,External,EM_IM,2
XZrmVnWilson,Black,Pos,ATW,4
XZrmVnWilson,Black,Pos,ATW,1
XZrmVnWilson,Black,Manip_check,ATW,5
XZrmVnWilson,Black,Interal,EM_IM,3
XZrmVnWilson,Black,Neg,ATW,1
XZrmVnWilson,Black,External,EM_IM,1
XlZirVHollingsworth,White,Pos,ATW,2
XlZirVHollingsworth,White,Neg,ATW,2
XlZirVHollingsworth,White,Pos,ATW,2
XlZirVHollingsworth,White,Pos,ATW,5
XlZirVHollingsworth,White,Pos,ATW,5
XlZirVHollingsworth,White,External,EM_IM,3
XlZirVHollingsworth,White,Interal,EM_IM,5
XlZirVHollingsworth,White,Interal,EM_IM,5
XlZirVHollingsworth,White,External,EM_IM,3
XlZirVHollingsworth,White,Manip_check,EM_IM,5
XlZirVHollingsworth,White,,ContactQ,"15-20 at work, 10-15 outside of work"
XlZirVHollingsworth,White,Neg,ATB,2
XlZirVHollingsworth,White,Neg,ATB,5
XlZirVHollingsworth,White,Pos,ATB,2
XlZirVHollingsworth,White,Neg,ATW,2
XlZirVHollingsworth,White,Pos,ATW,5
XlZirVHollingsworth,White,Neg,ATW,1
XlZirVHollingsworth,White,Pos,ATW,5
XlZirVHollingsworth,White,Manip_check,ATW,5
XlZirVHollingsworth,White,Neg,ATW,1
XlZirVHollingsworth,White,Pos,ATB,3
XlZirVHollingsworth,White,Pos,ATB,2
XlZirVHollingsworth,White,Neg,ATB,4
XlZirVHollingsworth,White,Neg,ATB,5
XlZirVHollingsworth,White,Neg,ATB,4
XlZirVHollingsworth,White,Pos,ATB,2
XlZirVHollingsworth,White,Neg,ATB,5
XlZirVHollingsworth,White,Manip_check,ATW,1
XlZirVHollingsworth,White,Manip_check,ATB,5
XlZirVHollingsworth,White,Interal,EM_IM,5
XlZirVHollingsworth,White,External,EM_IM,2
XlZirVHollingsworth,White,Manip_check,ATB,1
XlZirVHollingsworth,White,Interal,EM_IM,5
XlZirVHollingsworth,White,External,EM_IM,5
XlZirVHollingsworth,White,External,EM_IM,4
XlZirVHollingsworth,White,Manip_check,EM_IM,1
XlZirVHollingsworth,White,Interal,EM_IM,5
WZnVllyQ,White,Interal,EM_IM,5
WZnVllyQ,White,Pos,ATB,3
WZnVllyQ,White,,ContactQ,6
WZnVllyQ,White,Pos,ATW,4
WZnVllyQ,White,Manip_check,EM_IM,5
WZnVllyQ,White,Pos,ATB,3
WZnVllyQ,White,Pos,ATW,5
WZnVllyQ,White,Pos,ATW,3
WZnVllyQ,White,Neg,ATW,5
WZnVllyQ,White,Neg,ATW,3
WZnVllyQ,White,Manip_check,ATW,1
WZnVllyQ,White,Pos,ATW,1
WZnVllyQ,White,Neg,ATW,3
WZnVllyQ,White,Neg,ATW,1
WZnVllyQ,White,Neg,ATB,5
WZnVllyQ,White,Manip_check,ATW,5
WZnVllyQ,White,Neg,ATB,5
WZnVllyQ,White,Neg,ATB,3
WZnVllyQ,White,Manip_check,ATB,5
WZnVllyQ,White,Neg,ATB,3
WZnVllyQ,White,Neg,ATB,5
WZnVllyQ,White,Pos,ATB,1
WZnVllyQ,White,Manip_check,ATB,1
WZnVllyQ,White,Neg,ATB,5
WZnVllyQ,White,Interal,EM_IM,3
WZnVllyQ,White,External,EM_IM,2
WZnVllyQ,White,Manip_check,EM_IM,1
WZnVllyQ,White,External,EM_IM,3
WZnVllyQ,White,Pos,ATB,1
WZnVllyQ,White,External,EM_IM,3
WZnVllyQ,White,External,EM_IM,3
WZnVllyQ,White,Interal,EM_IM,3
WZnVllyQ,White,Interal,EM_IM,3
WZnVllyQ,White,Pos,ATW,5
WZnVllyQ,White,Pos,ATW,5
WZnVllyQ,White,External,EM_IM,
WZnVllyQ,White,Interal,EM_IM,3
GZYriVllZWZtkins,Black,Neg,ATW,3
GZYriVllZWZtkins,Black,Neg,ATW,3
GZYriVllZWZtkins,Black,Interal,EM_IM,5
GZYriVllZWZtkins,Black,Pos,ATW,5
GZYriVllZWZtkins,Black,External,EM_IM,1
GZYriVllZWZtkins,Black,External,EM_IM,1
GZYriVllZWZtkins,Black,External,EM_IM,1
GZYriVllZWZtkins,Black,Interal,EM_IM,5
GZYriVllZWZtkins,Black,Manip_check,EM_IM,1
GZYriVllZWZtkins,Black,Manip_check,EM_IM,5
GZYriVllZWZtkins,Black,Manip_check,ATW,1
GZYriVllZWZtkins,Black,External,EM_IM,1
GZYriVllZWZtkins,Black,Manip_check,ATB,1
GZYriVllZWZtkins,Black,External,EM_IM,1
GZYriVllZWZtkins,Black,Pos,ATB,1
GZYriVllZWZtkins,Black,Pos,ATW,5
GZYriVllZWZtkins,Black,Pos,ATW,4
GZYriVllZWZtkins,Black,Pos,ATB,2
GZYriVllZWZtkins,Black,Interal,EM_IM,5
GZYriVllZWZtkins,Black,Pos,ATW,1
GZYriVllZWZtkins,Black,Interal,EM_IM,5
GZYriVllZWZtkins,Black,Manip_check,ATB,5
GZYriVllZWZtkins,Black,Neg,ATB,1
GZYriVllZWZtkins,Black,Pos,ATB,1
GZYriVllZWZtkins,Black,Neg,ATB,5
GZYriVllZWZtkins,Black,Pos,ATW,4
GZYriVllZWZtkins,Black,Neg,ATB,5
GZYriVllZWZtkins,Black,Neg,ATB,5
GZYriVllZWZtkins,Black,Neg,ATB,5
GZYriVllZWZtkins,Black,Interal,EM_IM,5
GZYriVllZWZtkins,Black,Neg,ATW,1
GZYriVllZWZtkins,Black,Pos,ATW,5
GZYriVllZWZtkins,Black,Neg,ATW,1
GZYriVllZWZtkins,Black,Neg,ATB,5
GZYriVllZWZtkins,Black,Manip_check,ATW,5
GZYriVllZWZtkins,Black,Pos,ATB,1
GZYriVllVXhZrlton,Asian/Pacific Islander,Neg,ATW,4
GZYriVllVXhZrlton,Asian/Pacific Islander,Pos,ATB,4
GZYriVllVXhZrlton,Asian/Pacific Islander,Pos,ATB,2
GZYriVllVXhZrlton,Asian/Pacific Islander,Pos,ATW,4
GZYriVllVXhZrlton,Asian/Pacific Islander,Manip_check,ATW,1
GZYriVllVXhZrlton,Asian/Pacific Islander,External,EM_IM,4
GZYriVllVXhZrlton,Asian/Pacific Islander,Neg,ATW,1
GZYriVllVXhZrlton,Asian/Pacific Islander,Pos,ATW,5
GZYriVllVXhZrlton,Asian/Pacific Islander,Pos,ATW,3
GZYriVllVXhZrlton,Asian/Pacific Islander,Neg,ATB,4
GZYriVllVXhZrlton,Asian/Pacific Islander,Manip_check,ATB,5
GZYriVllVXhZrlton,Asian/Pacific Islander,Pos,ATB,2
GZYriVllVXhZrlton,Asian/Pacific Islander,Neg,ATB,1
GZYriVllVXhZrlton,Asian/Pacific Islander,Neg,ATB,5
GZYriVllVXhZrlton,Asian/Pacific Islander,Interal,EM_IM,4
GZYriVllVXhZrlton,Asian/Pacific Islander,Neg,ATB,5
GZYriVllVXhZrlton,Asian/Pacific Islander,Pos,ATB,1
GZYriVllVXhZrlton,Asian/Pacific Islander,External,EM_IM,4
GZYriVllVXhZrlton,Asian/Pacific Islander,Neg,ATW,4
GZYriVllVXhZrlton,Asian/Pacific Islander,Pos,ATW,1
GZYriVllVXhZrlton,Asian/Pacific Islander,Neg,ATW,1
GZYriVllVXhZrlton,Asian/Pacific Islander,Neg,ATB,4
GZYriVllVXhZrlton,Asian/Pacific Islander,External,EM_IM,2
GZYriVllVXhZrlton,Asian/Pacific Islander,Pos,ATW,2
GZYriVllVXhZrlton,Asian/Pacific Islander,Pos,ATW,2
GZYriVllVXhZrlton,Asian/Pacific Islander,Manip_check,ATW,5
GZYriVllVXhZrlton,Asian/Pacific Islander,,ContactQ,40
GZYriVllVXhZrlton,Asian/Pacific Islander,Manip_check,EM_IM,1
GZYriVllVXhZrlton,Asian/Pacific Islander,Interal,EM_IM,5
GZYriVllVXhZrlton,Asian/Pacific Islander,Interal,EM_IM,4
GZYriVllVXhZrlton,Asian/Pacific Islander,Neg,ATB,4
GZYriVllVXhZrlton,Asian/Pacific Islander,External,EM_IM,4
GZYriVllVXhZrlton,Asian/Pacific Islander,Manip_check,ATB,1
GZYriVllVXhZrlton,Asian/Pacific Islander,Manip_check,EM_IM,5
GZYriVllVXhZrlton,Asian/Pacific Islander,External,EM_IM,4
GZYriVllVXhZrlton,Asian/Pacific Islander,Interal,EM_IM,4
GZYriVllVXhZrlton,Asian/Pacific Islander,Interal,EM_IM,4
GrZXVGVrstnVr,White,Pos,ATB,3
GrZXVGVrstnVr,White,Neg,ATB,3
GrZXVGVrstnVr,White,Pos,ATB,3
GrZXVGVrstnVr,White,Neg,ATB,3
GrZXVGVrstnVr,White,Interal,EM_IM,3
GrZXVGVrstnVr,White,Manip_check,ATW,5
GrZXVGVrstnVr,White,Manip_check,ATB,5
GrZXVGVrstnVr,White,External,EM_IM,2
GrZXVGVrstnVr,White,Interal,EM_IM,5
GrZXVGVrstnVr,White,Pos,ATB,2
GrZXVGVrstnVr,White,Neg,ATB,3
GrZXVGVrstnVr,White,Neg,ATB,2
GrZXVGVrstnVr,White,Neg,ATB,3
GrZXVGVrstnVr,White,External,EM_IM,3
GrZXVGVrstnVr,White,Interal,EM_IM,4
GrZXVGVrstnVr,White,External,EM_IM,3
GrZXVGVrstnVr,White,External,EM_IM,3
GrZXVGVrstnVr,White,Neg,ATW,3
GrZXVGVrstnVr,White,Interal,EM_IM,3
GrZXVGVrstnVr,White,Manip_check,EM_IM,1
GrZXVGVrstnVr,White,Pos,ATW,4
GrZXVGVrstnVr,White,Manip_check,ATW,1
GrZXVGVrstnVr,White,Pos,ATW,3
GrZXVGVrstnVr,White,Pos,ATW,3
GrZXVGVrstnVr,White,Pos,ATW,4
GrZXVGVrstnVr,White,Pos,ATW,4
GrZXVGVrstnVr,White,Neg,ATW,2
GrZXVGVrstnVr,White,Neg,ATW,2
GrZXVGVrstnVr,White,Pos,ATW,5
GrZXVGVrstnVr,White,Pos,ATB,2
GrZXVGVrstnVr,White,Neg,ATB,3
GrZXVGVrstnVr,White,,ContactQ,I spend at least 24 hours per week I go to college and work.
GrZXVGVrstnVr,White,Manip_check,ATB,1
GrZXVGVrstnVr,White,External,EM_IM,3
GrZXVGVrstnVr,White,Manip_check,EM_IM,5
GrZXVGVrstnVr,White,Interal,EM_IM,3
GrZXVGVrstnVr,White,Neg,ATW,2
HonVsty,Other/unknown,External,EM_IM,1
HonVsty,Other/unknown,Neg,ATW,1
HonVsty,Other/unknown,Pos,ATW,5
HonVsty,Other/unknown,Interal,EM_IM,5
HonVsty,Other/unknown,Neg,ATW,1
HonVsty,Other/unknown,External,EM_IM,4
HonVsty,Other/unknown,Neg,ATB,5
HonVsty,Other/unknown,Interal,EM_IM,5
HonVsty,Other/unknown,Manip_check,EM_IM,5
HonVsty,Other/unknown,Neg,ATB,5
HonVsty,Other/unknown,Pos,ATB,1
HonVsty,Other/unknown,Manip_check,ATB,5
HonVsty,Other/unknown,Interal,EM_IM,5
HonVsty,Other/unknown,Neg,ATB,5
HonVsty,Other/unknown,Pos,ATB,2
