"Username","participant ethnicity","Procedure.Procedure.Notes","Procedure.Shuffle","response"
"6298813270372901ADA","Black","External","EM_IM","2"
"6298813270372901ADA","Black","Manip_check","EM_IM","1"
"6298813270372901ADA","Black","Interal","EM_IM","4"
"6298813270372901ADA","Black","External","EM_IM","2"
"6298813270372901ADA","Black","Pos","ATW","3"
"6298813270372901ADA","Black","","ContactQ","12"
"6298813270372901ADA","Black","Interal","EM_IM","4"
"6298813270372901ADA","Black","Manip_check","ATW","1"
"6298813270372901ADA","Black","Neg","ATW","1"
"6298813270372901ADA","Black","Neg","ATW","1"
"6298813270372901ADA","Black","Pos","ATW","3"
"6298813270372901ADA","Black","Pos","ATW","5"
"6298813270372901ADA","Black","Manip_check","ATW","5"
"6298813270372901ADA","Black","Pos","ATW","3"
"6298813270372901ADA","Black","Neg","ATW","4"
"6298813270372901ADA","Black","Neg","ATW","4"
"6298813270372901ADA","Black","Neg","ATB","5"
"6298813270372901ADA","Black","Manip_check","ATB","1"
"6298813270372901ADA","Black","Pos","ATB","1"
"6298813270372901ADA","Black","Pos","ATB","2"
"6298813270372901ADA","Black","Neg","ATB","1"
"6298813270372901ADA","Black","Pos","ATB","1"
"6298813270372901ADA","Black","Neg","ATB","4"
"6298813270372901ADA","Black","Neg","ATB","5"
"6298813270372901ADA","Black","Neg","ATB","5"
"6298813270372901ADA","Black","Manip_check","ATB","5"
"6298813270372901ADA","Black","External","EM_IM","2"
"6298813270372901ADA","Black","Interal","EM_IM","4"
"6298813270372901ADA","Black","Interal","EM_IM","4"
"6298813270372901ADA","Black","External","EM_IM","2"
"6298813270372901ADA","Black","Manip_check","EM_IM","5"
"6298813270372901ADA","Black","Interal","EM_IM","5"
"6298813270372901ADA","Black","External","EM_IM","3"
"6298813270372901ADA","Black","Pos","ATW","5"
"6298813270372901ADA","Black","Pos","ATB","2"
"6298813270372901ADA","Black","Neg","ATB","5"
"6298813270372901ADA","Black","Pos","ATW","4"
"j00867279KS","Black","Pos","ATW","1"
"j00867279KS","Black","Pos","ATW","3"
"j00867279KS","Black","Interal","EM_IM","3"
"j00867279KS","Black","Interal","EM_IM","5"
"j00867279KS","Black","Interal","EM_IM","5"
