"Username","participant_ethnicity","Response.RT","key","Target_Ethnicity","Target_Gender","scored"
"6298813270372901ADA","Black",2373,"OLD","W","M",1
"6298813270372901ADA","Black",2157,"OLD","W","F",1
"6298813270372901ADA","Black",2761,"OLD","W","F",1
"6298813270372901ADA","Black",2245,"OLD","B","F",1
"6298813270372901ADA","Black",3467,"OLD","W","M",0
"6298813270372901ADA","Black",1441,"OLD","B","F",1
"6298813270372901ADA","Black",2094,"OLD","W","F",1
"6298813270372901ADA","Black",1532,"OLD","B","M",1
"6298813270372901ADA","Black",1544,"OLD","B","M",1
"6298813270372901ADA","Black",7532,"NEW","B","F",0
"6298813270372901ADA","Black",3896,"NEW","W","F",1
"6298813270372901ADA","Black",2628,"NEW","B","F",0
"6298813270372901ADA","Black",1737,"OLD","B","F",1
"6298813270372901ADA","Black",5642,"NEW","B","M",0
"6298813270372901ADA","Black",2601,"NEW","B","M",0
"6298813270372901ADA","Black",1906,"NEW","B","M",0
"6298813270372901ADA","Black",1886,"NEW","W","M",0
"6298813270372901ADA","Black",4283,"NEW","B","M",1
"6298813270372901ADA","Black",1988,"NEW","B","F",0
"6298813270372901ADA","Black",1903,"NEW","W","M",0
"6298813270372901ADA","Black",2372,"NEW","B","M",0
"6298813270372901ADA","Black",1891,"NEW","W","F",0
"6298813270372901ADA","Black",1897,"OLD","W","M",1
"6298813270372901ADA","Black",2380,"OLD","B","M",1
"6298813270372901ADA","Black",1904,"OLD","B","F",1
"6298813270372901ADA","Black",2359,"OLD","W","M",1
"6298813270372901ADA","Black",1800,"OLD","B","F",1
"6298813270372901ADA","Black",1864,"OLD","W","F",1
"6298813270372901ADA","Black",1712,"OLD","W","M",1
"6298813270372901ADA","Black",1758,"OLD","W","F",1
"6298813270372901ADA","Black",1918,"OLD","B","F",1
"6298813270372901ADA","Black",3169,"OLD","W","F",1
"6298813270372901ADA","Black",1639,"OLD","B","F",1
"6298813270372901ADA","Black",2362,"OLD","W","M",1
"6298813270372901ADA","Black",1945,"OLD","W","F",1
"6298813270372901ADA","Black",2102,"OLD","B","F",1
"6298813270372901ADA","Black",3080,"OLD","W","F",1
"6298813270372901ADA","Black",1889,"OLD","W","F",1
"6298813270372901ADA","Black",1814,"NEW","W","F",0
"6298813270372901ADA","Black",2489,"OLD","W","M",1
"6298813270372901ADA","Black",1633,"OLD","W","M",1
"6298813270372901ADA","Black",2274,"OLD","W","F",1
"6298813270372901ADA","Black",1599,"NEW","B","F",0
"6298813270372901ADA","Black",1623,"NEW","B","M",0
"6298813270372901ADA","Black",1396,"NEW","W","M",0
"6298813270372901ADA","Black",1590,"NEW","W","F",0
"6298813270372901ADA","Black",1600,"NEW","W","F",0
"6298813270372901ADA","Black",1546,"NEW","W","F",0
"6298813270372901ADA","Black",1448,"NEW","W","M",0
"6298813270372901ADA","Black",1647,"NEW","B","F",0
"6298813270372901ADA","Black",2336,"OLD","B","M",1
"6298813270372901ADA","Black",1540,"OLD","B","M",1
"6298813270372901ADA","Black",2104,"NEW","B","M",0
"6298813270372901ADA","Black",2311,"OLD","B","F",1
"6298813270372901ADA","Black",1546,"OLD","B","M",1
"6298813270372901ADA","Black",1573,"OLD","W","M",1
"6298813270372901ADA","Black",1547,"OLD","B","F",1
"6298813270372901ADA","Black",1977,"OLD","B","M",1
"6298813270372901ADA","Black",1604,"OLD","B","M",1
"6298813270372901ADA","Black",1736,"OLD","B","M",1
"6298813270372901ADA","Black",1557,"OLD","B","M",1
"6298813270372901ADA","Black",2943,"OLD","W","M",1
"6298813270372901ADA","Black",1632,"NEW","B","F",0
"6298813270372901ADA","Black",2409,"NEW","W","F",0
"6298813270372901ADA","Black",2007,"NEW","B","M",0
"6298813270372901ADA","Black",1818,"NEW","W","F",0
"6298813270372901ADA","Black",2023,"NEW","B","F",0
"6298813270372901ADA","Black",1702,"NEW","W","M",0
"6298813270372901ADA","Black",3167,"NEW","B","M",0
"6298813270372901ADA","Black",1764,"NEW","W","M",0
"6298813270372901ADA","Black",1727,"NEW","W","M",0
"6298813270372901ADA","Black",1942,"NEW","W","F",0
"6298813270372901ADA","Black",1864,"NEW","W","M",0
"6298813270372901ADA","Black",2160,"NEW","B","F",0
"6298813270372901ADA","Black",1464,"NEW","W","M",0
"6298813270372901ADA","Black",2456,"NEW","B","F",0
"6298813270372901ADA","Black",1492,"NEW","B","F",0
"6298813270372901ADA","Black",1780,"NEW","W","F",0
"6298813270372901ADA","Black",2450,"NEW","B","M",0
"6298813270372901ADA","Black",1542,"NEW","W","M",0
"j00867279KS","Black",5009,"NEW","W","M",1
"j00867279KS","Black",2743,"OLD","B","F",1
"j00867279KS","Black",2308,"OLD","W","F",0
"j00867279KS","Black",4246,"NEW","B","F",1
"j00867279KS","Black",3279,"OLD","W","M",1
"j00867279KS","Black",3269,"OLD","W","F",1
"j00867279KS","Black",2237,"OLD","W","F",0
"j00867279KS","Black",3114,"NEW","B","F",0
"j00867279KS","Black",2148,"OLD","W","F",0
"j00867279KS","Black",2982,"OLD","B","F",1
"j00867279KS","Black",4627,"OLD","W","M",0
"j00867279KS","Black",3201,"OLD","B","F",1
"j00867279KS","Black",3117,"NEW","W","F",0
"j00867279KS","Black",2301,"NEW","W","M",0
"j00867279KS","Black",2828,"NEW","B","M",0
"j00867279KS","Black",3774,"NEW","B","F",0
"j00867279KS","Black",2321,"OLD","B","M",1
"j00867279KS","Black",2741,"OLD","B","M",1
"j00867279KS","Black",3203,"OLD","B","F",1
"j00867279KS","Black",2486,"OLD","W","M",1
"j00867279KS","Black",2441,"OLD","B","M",1
"j00867279KS","Black",3025,"OLD","B","M",1
"j00867279KS","Black",2797,"OLD","B","F",1
"j00867279KS","Black",2657,"NEW","W","M",0
"j00867279KS","Black",2867,"NEW","W","F",0
"j00867279KS","Black",2662,"OLD","B","F",1
"j00867279KS","Black",3555,"OLD","W","M",1
"j00867279KS","Black",3364,"OLD","B","F",1
"j00867279KS","Black",4787,"OLD","B","M",1
